Year,NOC,Sex,Sport,Bronze,Gold,Silver,participates
1992,ITA,M,Weightlifting,0,0,0,3
1996,ITA,M,Weightlifting,0,0,0,2
2000,ITA,M,Weightlifting,0,0,0,3
2008,ITA,M,Weightlifting,0,0,0,3
2012,ITA,M,Weightlifting,0,0,0,1
2016,ITA,M,Weightlifting,0,0,0,1
2020,ITA,M,Weightlifting,2,0,0,3
2024,ITA,M,Weightlifting,1,0,0,2
1908,ITA,M,Wrestling,0,1,0,1
1912,ITA,M,Wrestling,0,0,0,6
1920,ITA,M,Wrestling,0,0,0,8
1924,ITA,M,Wrestling,0,0,0,17
1928,ITA,M,Wrestling,2,0,0,5
1932,ITA,M,Wrestling,2,1,1,6
1936,ITA,M,Wrestling,0,0,0,10
1948,ITA,M,Wrestling,2,1,0,11
1952,ITA,M,Wrestling,0,0,1,14
1956,ITA,M,Wrestling,1,0,1,5
1960,ITA,M,Wrestling,0,0,0,16
1964,ITA,M,Wrestling,0,0,0,5
1968,ITA,M,Wrestling,0,0,0,5
1972,ITA,M,Wrestling,2,0,0,7
1976,ITA,M,Wrestling,0,0,0,8
1980,ITA,M,Wrestling,0,1,0,6
1984,ITA,M,Wrestling,0,1,0,7
1988,ITA,M,Wrestling,0,1,0,4
1992,ITA,M,Wrestling,0,0,1,5
1996,ITA,M,Wrestling,0,0,0,4
2000,ITA,M,Wrestling,0,0,0,2
2004,ITA,M,Wrestling,0,0,0,4
2008,ITA,M,Wrestling,0,1,0,2
2012,ITA,M,Wrestling,0,0,0,1
2016,ITA,M,Wrestling,1,0,0,2
2020,ITA,M,Wrestling,1,0,0,2
2024,ITA,M,Wrestling,0,0,0,1
2008,IVB,F,Athletics,0,0,0,1
2012,IVB,F,Athletics,0,0,0,1
2016,IVB,F,Athletics,0,0,0,2
2020,IVB,F,Athletics,0,0,0,1
2024,IVB,F,Athletics,0,0,0,1
2016,IVB,F,Swimming,0,0,0,1
2020,IVB,F,Swimming,0,0,0,1
1984,IVB,M,Athletics,0,0,0,4
1988,IVB,M,Athletics,0,0,0,2
1992,IVB,M,Athletics,0,0,0,1
1996,IVB,M,Athletics,0,0,0,6
2000,IVB,M,Athletics,0,0,0,1
2004,IVB,M,Athletics,0,0,0,1
2008,IVB,M,Athletics,0,0,0,1
2012,IVB,M,Athletics,0,0,0,1
2016,IVB,M,Athletics,0,0,0,1
2020,IVB,M,Athletics,0,0,0,1
2024,IVB,M,Athletics,0,0,0,2
1984,IVB,M,Sailing,0,0,0,5
1988,IVB,M,Sailing,0,0,0,1
1992,IVB,M,Sailing,0,0,0,3
1996,IVB,M,Sailing,0,0,0,1
2024,IVB,M,Sailing,0,0,0,1
1948,JAM,F,Athletics,0,0,0,4
1952,JAM,F,Athletics,0,0,0,2
1964,JAM,F,Athletics,0,0,0,4
1968,JAM,F,Athletics,0,0,0,5
1972,JAM,F,Athletics,0,0,0,10
1976,JAM,F,Athletics,0,0,0,9
1980,JAM,F,Athletics,1,0,0,7
1984,JAM,F,Athletics,2,0,0,14
1988,JAM,F,Athletics,0,0,1,11
1992,JAM,F,Athletics,1,0,2,14
1996,JAM,F,Athletics,1,1,2,19
2000,JAM,F,Athletics,2,0,5,23
2004,JAM,F,Athletics,2,2,0,20
2008,JAM,F,Athletics,2,3,2,24
2012,JAM,F,Athletics,2,1,2,20
2016,JAM,F,Athletics,2,2,2,29
2020,JAM,F,Athletics,3,3,1,29
2024,JAM,F,Athletics,0,0,1,31
2004,JAM,F,Badminton,0,0,0,1
1972,JAM,F,Diving,0,0,0,1
2008,JAM,F,Equestrianism,0,0,0,1
2012,JAM,F,Equestrianism,0,0,0,1
2016,JAM,F,Gymnastics,0,0,0,1
2020,JAM,F,Gymnastics,0,0,0,1
2020,JAM,F,Judo,0,0,0,1
2004,JAM,F,Shooting,0,0,0,1
1972,JAM,F,Swimming,0,0,0,1
2000,JAM,F,Swimming,0,0,0,2
2004,JAM,F,Swimming,0,0,0,3
2008,JAM,F,Swimming,0,0,0,2
2012,JAM,F,Swimming,0,0,0,1
2016,JAM,F,Swimming,0,0,0,1
2020,JAM,F,Swimming,0,0,0,1
2024,JAM,F,Swimming,0,0,0,1
2000,JAM,F,Triathlon,0,0,0,1
1948,JAM,M,Athletics,0,1,2,6
1952,JAM,M,Athletics,0,2,3,5
1956,JAM,M,Athletics,0,0,0,6
1964,JAM,M,Athletics,0,0,0,11
1968,JAM,M,Athletics,0,0,1,10
1972,JAM,M,Athletics,1,0,0,11
1976,JAM,M,Athletics,0,1,1,5
1980,JAM,M,Athletics,1,0,0,9
1984,JAM,M,Athletics,0,0,1,18
1988,JAM,M,Athletics,0,0,1,15
1992,JAM,M,Athletics,0,0,1,14
1996,JAM,M,Athletics,1,0,1,19
2000,JAM,M,Athletics,1,0,1,20
2004,JAM,M,Athletics,0,0,1,21
2008,JAM,M,Athletics,0,2,0,21
2012,JAM,M,Athletics,2,3,2,22
2016,JAM,M,Athletics,0,4,1,23
2020,JAM,M,Athletics,1,1,0,26
2024,JAM,M,Athletics,2,1,2,30
1948,JAM,M,Boxing,0,0,0,1
1964,JAM,M,Boxing,0,0,0,2
1968,JAM,M,Boxing,0,0,0,3
1972,JAM,M,Boxing,0,0,0,1
1976,JAM,M,Boxing,0,0,0,3
1984,JAM,M,Boxing,0,0,0,3
1988,JAM,M,Boxing,0,0,0,4
1992,JAM,M,Boxing,0,0,0,2
1996,JAM,M,Boxing,0,0,0,3
2020,JAM,M,Boxing,0,0,0,1
1952,JAM,M,Cycling,0,0,0,1
1972,JAM,M,Cycling,0,0,0,6
1976,JAM,M,Cycling,0,0,0,3
1980,JAM,M,Cycling,1,0,0,2
1984,JAM,M,Cycling,0,0,0,5
1988,JAM,M,Cycling,0,0,0,3
1992,JAM,M,Cycling,0,0,0,3
2008,JAM,M,Cycling,0,0,0,1
2016,JAM,M,Diving,0,0,0,1
2020,JAM,M,Diving,0,0,0,1
2024,JAM,M,Diving,0,0,0,1
2024,JAM,M,Judo,0,0,0,1
1964,JAM,M,Sailing,0,0,0,3
1968,JAM,M,Sailing,0,0,0,5
1972,JAM,M,Sailing,0,0,0,2
1992,JAM,M,Sailing,0,0,0,2
1996,JAM,M,Sailing,0,0,0,2
2000,JAM,M,Sailing,0,0,0,2
1964,JAM,M,Shooting,0,0,0,1
1968,JAM,M,Swimming,0,0,0,1
1984,JAM,M,Swimming,0,0,0,4
1996,JAM,M,Swimming,0,0,0,1
2004,JAM,M,Swimming,0,0,0,1
2008,JAM,M,Swimming,0,0,0,1
2016,JAM,M,Swimming,0,0,0,1
2020,JAM,M,Swimming,0,0,0,1
2024,JAM,M,Swimming,0,0,0,1
1988,JAM,M,Table Tennis,0,0,0,1
1992,JAM,M,Table Tennis,0,0,0,1
1996,JAM,M,Table Tennis,0,0,0,2
2012,JAM,M,Taekwondo,0,0,0,1
1948,JAM,M,Weightlifting,0,0,0,2
1968,JAM,M,Weightlifting,0,0,0,1
1984,JAM,M,Weightlifting,0,0,0,1
1988,JAM,M,Weightlifting,0,0,0,1
1988,JOR,F,Archery,0,0,0,1
1984,JOR,F,Athletics,0,0,0,1
1996,JOR,F,Athletics,0,0,0,1
2000,JOR,F,Athletics,0,0,0,1
2004,JOR,F,Athletics,0,0,0,1
2008,JOR,F,Athletics,0,0,0,1
2012,JOR,F,Athletics,0,0,0,1
2020,JOR,F,Athletics,0,0,0,1
2000,JOR,F,Equestrianism,0,0,0,1
2020,JOR,F,Shooting,0,0,0,1
1996,JOR,F,Swimming,0,0,0,1
2000,JOR,F,Swimming,0,0,0,1
2004,JOR,F,Swimming,0,0,0,1
2008,JOR,F,Swimming,0,0,0,1
2012,JOR,F,Swimming,0,0,0,1
2016,JOR,F,Swimming,0,0,0,1
2020,JOR,F,Swimming,0,0,0,1
2024,JOR,F,Swimming,0,0,0,1
1988,JOR,F,Table Tennis,0,0,0,1
1992,JOR,F,Table Tennis,0,0,0,1
2000,JOR,F,Table Tennis,0,0,0,1
2004,JOR,F,Table Tennis,0,0,0,1
2008,JOR,F,Table Tennis,0,0,0,1
2004,JOR,F,Taekwondo,0,0,0,1
2008,JOR,F,Taekwondo,0,0,0,1
2012,JOR,F,Taekwondo,0,0,0,2
2020,JOR,F,Taekwondo,0,0,0,1
2024,JOR,F,Taekwondo,0,0,0,2
1984,JOR,M,Athletics,0,0,0,4
1992,JOR,M,Athletics,0,0,0,2
1996,JOR,M,Athletics,0,0,0,1
2000,JOR,M,Athletics,0,0,0,1
2004,JOR,M,Athletics,0,0,0,1
2008,JOR,M,Athletics,0,0,0,1
2012,JOR,M,Athletics,0,0,0,1
2016,JOR,M,Athletics,0,0,0,1
2024,JOR,M,Athletics,0,0,0,1
1988,JOR,M,Boxing,0,0,0,2
2012,JOR,M,Boxing,0,0,0,1
2016,JOR,M,Boxing,0,0,0,2
2020,JOR,M,Boxing,0,0,0,5
2024,JOR,M,Boxing,0,0,0,3
2004,JOR,M,Equestrianism,0,0,0,1
2008,JOR,M,Equestrianism,0,0,0,1
2012,JOR,M,Equestrianism,0,0,0,1
2020,JOR,M,Equestrianism,0,0,0,1
1984,JOR,M,Fencing,0,0,0,1
1988,JOR,M,Fencing,0,0,0,1
2024,JOR,M,Gymnastics,0,0,0,1
2016,JOR,M,Judo,0,0,0,1
2020,JOR,M,Judo,0,0,0,1
2020,JOR,M,Karate,1,0,0,1
1980,JOR,M,Shooting,0,0,0,4
1984,JOR,M,Shooting,0,0,0,7
1992,JOR,M,Shooting,0,0,0,1
1996,JOR,M,Shooting,0,0,0,1
2000,JOR,M,Shooting,0,0,0,1
1996,JOR,M,Swimming,0,0,0,1
2000,JOR,M,Swimming,0,0,0,1
2004,JOR,M,Swimming,0,0,0,1
2008,JOR,M,Swimming,0,0,0,1
2012,JOR,M,Swimming,0,0,0,1
2016,JOR,M,Swimming,0,0,0,1
2020,JOR,M,Swimming,0,0,0,1
2024,JOR,M,Swimming,0,0,0,1
2024,JOR,M,Table Tennis,0,0,0,1
2000,JOR,M,Taekwondo,0,0,0,1
2004,JOR,M,Taekwondo,0,0,0,1
2012,JOR,M,Taekwondo,0,0,0,1
2016,JOR,M,Taekwondo,0,1,0,1
2020,JOR,M,Taekwondo,0,0,1,1
2024,JOR,M,Taekwondo,0,0,1,2
2016,JOR,M,Triathlon,0,0,0,1
1988,JOR,M,Wrestling,0,0,0,2
1972,JPN,F,Archery,0,0,0,1
1976,JPN,F,Archery,0,0,0,2
1984,JPN,F,Archery,0,0,0,2
1988,JPN,F,Archery,0,0,0,3
1992,JPN,F,Archery,0,0,0,3
1996,JPN,F,Archery,0,0,0,3
2000,JPN,F,Archery,0,0,0,2
2004,JPN,F,Archery,0,0,0,3
2008,JPN,F,Archery,0,0,0,3
2012,JPN,F,Archery,1,0,0,3
2016,JPN,F,Archery,0,0,0,3
2020,JPN,F,Archery,0,0,0,3
2024,JPN,F,Archery,0,0,0,1
1932,JPN,F,Art Competitions,0,0,0,2
1936,JPN,F,Art Competitions,0,0,0,3
1928,JPN,F,Athletics,0,0,1,1
1932,JPN,F,Athletics,0,0,0,9
1936,JPN,F,Athletics,0,0,0,7
1952,JPN,F,Athletics,0,0,0,3
1956,JPN,F,Athletics,0,0,0,3
1960,JPN,F,Athletics,0,0,0,5
1964,JPN,F,Athletics,0,0,0,15
1972,JPN,F,Athletics,0,0,0,3
1976,JPN,F,Athletics,0,0,0,2
1984,JPN,F,Athletics,0,0,0,6
1988,JPN,F,Athletics,0,0,0,6
1992,JPN,F,Athletics,0,0,1,9
1996,JPN,F,Athletics,1,0,0,12
2000,JPN,F,Athletics,0,1,0,12
2004,JPN,F,Athletics,0,1,0,13
2008,JPN,F,Athletics,0,0,0,15
2012,JPN,F,Athletics,0,0,0,17
2016,JPN,F,Athletics,0,0,0,14
2020,JPN,F,Athletics,0,0,0,23
2024,JPN,F,Athletics,0,1,0,19
1992,JPN,F,Badminton,0,0,0,6
1996,JPN,F,Badminton,0,0,0,6
2000,JPN,F,Badminton,0,0,0,7
2004,JPN,F,Badminton,0,0,0,7
2008,JPN,F,Badminton,0,0,0,5
2012,JPN,F,Badminton,0,0,1,6
2016,JPN,F,Badminton,1,1,0,5
2020,JPN,F,Badminton,1,0,0,7
2024,JPN,F,Badminton,1,0,0,7
2020,JPN,F,Baseball,0,1,0,15
1976,JPN,F,Basketball,0,0,0,12
1996,JPN,F,Basketball,0,0,0,12
2004,JPN,F,Basketball,0,0,0,12
2016,JPN,F,Basketball,0,0,0,12
2020,JPN,F,Basketball,0,0,1,16
2024,JPN,F,Basketball,0,0,0,12
2020,JPN,F,Boxing,1,1,0,2
2024,JPN,F,Breaking,0,1,0,2
1964,JPN,F,Canoeing,0,0,0,2
1988,JPN,F,Canoeing,0,0,0,2
1992,JPN,F,Canoeing,0,0,0,3
1996,JPN,F,Canoeing,0,0,0,6
2000,JPN,F,Canoeing,0,0,0,1
2004,JPN,F,Canoeing,0,0,0,5
2008,JPN,F,Canoeing,0,0,0,5
2012,JPN,F,Canoeing,0,0,0,3
2016,JPN,F,Canoeing,0,0,0,1
2020,JPN,F,Canoeing,0,0,0,5
2024,JPN,F,Canoeing,0,0,0,2
1984,JPN,F,Cycling,0,0,0,1
1988,JPN,F,Cycling,0,0,0,3
1992,JPN,F,Cycling,0,0,0,3
1996,JPN,F,Cycling,0,0,0,2
2000,JPN,F,Cycling,0,0,0,3
2004,JPN,F,Cycling,0,0,0,4
2008,JPN,F,Cycling,0,0,0,4
2012,JPN,F,Cycling,0,0,0,3
2016,JPN,F,Cycling,0,0,0,2
2020,JPN,F,Cycling,0,0,1,9
2024,JPN,F,Cycling,0,0,0,11
1932,JPN,F,Diving,0,0,0,1
1936,JPN,F,Diving,0,0,0,3
1952,JPN,F,Diving,0,0,0,1
1956,JPN,F,Diving,0,0,0,2
1960,JPN,F,Diving,0,0,0,2
1964,JPN,F,Diving,0,0,0,4
1968,JPN,F,Diving,0,0,0,1
1972,JPN,F,Diving,0,0,0,2
1976,JPN,F,Diving,0,0,0,2
1984,JPN,F,Diving,0,0,0,1
1988,JPN,F,Diving,0,0,0,2
1992,JPN,F,Diving,0,0,0,1
1996,JPN,F,Diving,0,0,0,1
2004,JPN,F,Diving,0,0,0,1
2008,JPN,F,Diving,0,0,0,1
2012,JPN,F,Diving,0,0,0,1
2016,JPN,F,Diving,0,0,0,1
2020,JPN,F,Diving,0,0,0,5
2024,JPN,F,Diving,0,0,0,3
1964,JPN,F,Equestrianism,0,0,0,1
1972,JPN,F,Equestrianism,0,0,0,1
1988,JPN,F,Equestrianism,0,0,0,2
2004,JPN,F,Equestrianism,0,0,0,1
2008,JPN,F,Equestrianism,0,0,0,2
2012,JPN,F,Equestrianism,0,0,0,1
2016,JPN,F,Equestrianism,0,0,0,3
1964,JPN,F,Fencing,0,0,0,4
1976,JPN,F,Fencing,0,0,0,4
1984,JPN,F,Fencing,0,0,0,4
1988,JPN,F,Fencing,0,0,0,5
1992,JPN,F,Fencing,0,0,0,1
1996,JPN,F,Fencing,0,0,0,3
2000,JPN,F,Fencing,0,0,0,2
2004,JPN,F,Fencing,0,0,0,3
2008,JPN,F,Fencing,0,0,0,3
2012,JPN,F,Fencing,0,0,0,6
2016,JPN,F,Fencing,0,0,0,3
2020,JPN,F,Fencing,0,0,0,9
2024,JPN,F,Fencing,2,0,0,9
1996,JPN,F,Football,0,0,0,16
2004,JPN,F,Football,0,0,0,16
2008,JPN,F,Football,0,0,0,17
2012,JPN,F,Football,0,0,1,18
2020,JPN,F,Football,0,0,0,22
2024,JPN,F,Football,0,0,0,22
2016,JPN,F,Golf,0,0,0,2
2020,JPN,F,Golf,0,0,1,2
2024,JPN,F,Golf,0,0,0,2
1956,JPN,F,Gymnastics,0,0,0,6
1960,JPN,F,Gymnastics,0,0,0,6
1964,JPN,F,Gymnastics,1,0,0,6
1968,JPN,F,Gymnastics,0,0,0,6
1972,JPN,F,Gymnastics,0,0,0,6
1976,JPN,F,Gymnastics,0,0,0,6
1984,JPN,F,Gymnastics,0,0,0,8
1988,JPN,F,Gymnastics,0,0,0,8
1992,JPN,F,Gymnastics,0,0,0,5
1996,JPN,F,Gymnastics,0,0,0,9
2000,JPN,F,Gymnastics,0,0,0,10
2004,JPN,F,Gymnastics,0,0,0,4
2008,JPN,F,Gymnastics,0,0,0,13
2012,JPN,F,Gymnastics,0,0,0,11
2016,JPN,F,Gymnastics,0,0,0,12
2020,JPN,F,Gymnastics,1,0,0,14
2024,JPN,F,Gymnastics,0,0,0,5
1976,JPN,F,Handball,0,0,0,12
2020,JPN,F,Handball,0,0,0,16
2004,JPN,F,Hockey,0,0,0,16
2008,JPN,F,Hockey,0,0,0,14
2012,JPN,F,Hockey,0,0,0,16
2016,JPN,F,Hockey,0,0,0,16
2020,JPN,F,Hockey,0,0,0,18
2024,JPN,F,Hockey,0,0,0,16
1992,JPN,F,Judo,2,0,3,7
1996,JPN,F,Judo,1,1,2,7
2000,JPN,F,Judo,2,1,1,7
2004,JPN,F,Judo,0,5,1,7
2008,JPN,F,Judo,2,2,1,7
2012,JPN,F,Judo,1,1,1,7
2016,JPN,F,Judo,4,1,0,7
2020,JPN,F,Judo,1,4,1,7
2024,JPN,F,Judo,1,1,1,7
2020,JPN,F,Karate,0,0,1,4
2012,JPN,F,Modern Pentathlon,0,0,0,2
2016,JPN,F,Modern Pentathlon,0,0,0,1
2020,JPN,F,Modern Pentathlon,0,0,0,2
2024,JPN,F,Modern Pentathlon,0,0,0,1
1992,JPN,F,Rowing,0,0,0,2
1996,JPN,F,Rowing,0,0,0,2
2000,JPN,F,Rowing,0,0,0,2
2004,JPN,F,Rowing,0,0,0,2
2008,JPN,F,Rowing,0,0,0,2
2012,JPN,F,Rowing,0,0,0,3
2016,JPN,F,Rowing,0,0,0,2
2020,JPN,F,Rowing,0,0,0,2
2024,JPN,F,Rowing,0,0,0,2
2016,JPN,F,Rugby,0,0,0,13
2020,JPN,F,Rugby,0,0,0,13
2024,JPN,F,Rugby,0,0,0,13
1988,JPN,F,Sailing,0,0,0,2
1992,JPN,F,Sailing,0,0,0,2
1996,JPN,F,Sailing,0,0,1,4
2000,JPN,F,Sailing,0,0,0,4
2004,JPN,F,Sailing,0,0,0,4
2008,JPN,F,Sailing,0,0,0,3
2012,JPN,F,Sailing,0,0,0,4
2016,JPN,F,Sailing,0,0,0,6
2020,JPN,F,Sailing,0,0,0,7
2024,JPN,F,Sailing,0,0,0,4
1984,JPN,F,Shooting,0,0,0,3
1988,JPN,F,Shooting,0,0,1,5
1992,JPN,F,Shooting,0,0,0,3
1996,JPN,F,Shooting,0,0,0,4
2000,JPN,F,Shooting,0,0,0,5
2004,JPN,F,Shooting,0,0,0,6
2008,JPN,F,Shooting,0,0,0,2
2012,JPN,F,Shooting,0,0,0,2
2016,JPN,F,Shooting,0,0,0,3
2020,JPN,F,Shooting,0,0,0,6
2024,JPN,F,Shooting,0,0,0,1
2020,JPN,F,Skateboarding,1,2,1,6
2024,JPN,F,Skateboarding,0,1,2,6
1996,JPN,F,Softball,0,0,0,15
2000,JPN,F,Softball,0,0,1,15
2004,JPN,F,Softball,1,0,0,14
2008,JPN,F,Softball,0,1,0,15
2020,JPN,F,Sport Climbing,1,0,1,2
2024,JPN,F,Sport Climbing,0,0,0,2
2020,JPN,F,Surfing,1,0,0,2
2024,JPN,F,Surfing,0,0,0,1
1932,JPN,F,Swimming,0,0,1,6
1936,JPN,F,Swimming,0,1,0,6
1952,JPN,F,Swimming,0,0,0,7
1956,JPN,F,Swimming,0,0,0,5
1960,JPN,F,Swimming,1,0,0,7
1964,JPN,F,Swimming,0,0,0,14
1968,JPN,F,Swimming,0,0,0,9
1972,JPN,F,Swimming,0,1,0,11
1976,JPN,F,Swimming,0,0,0,8
1984,JPN,F,Swimming,0,0,0,12
1988,JPN,F,Swimming,0,0,0,11
1992,JPN,F,Swimming,0,1,0,13
1996,JPN,F,Swimming,0,0,0,14
2000,JPN,F,Swimming,2,0,2,12
2004,JPN,F,Swimming,2,1,0,11
2008,JPN,F,Swimming,1,0,0,15
2012,JPN,F,Swimming,4,0,1,15
2016,JPN,F,Swimming,1,1,0,18
2020,JPN,F,Swimming,0,2,0,17
2024,JPN,F,Swimming,0,0,0,14
1984,JPN,F,Synchronized Swimming,2,0,0,3
1988,JPN,F,Synchronized Swimming,2,0,0,3
1992,JPN,F,Synchronized Swimming,2,0,0,3
1996,JPN,F,Synchronized Swimming,1,0,0,9
2000,JPN,F,Synchronized Swimming,0,0,2,9
2004,JPN,F,Synchronized Swimming,0,0,2,9
2008,JPN,F,Synchronized Swimming,1,0,0,9
2012,JPN,F,Synchronized Swimming,0,0,0,9
2016,JPN,F,Synchronized Swimming,2,0,0,8
2020,JPN,F,Synchronized Swimming,0,0,0,8
2024,JPN,F,Synchronized Swimming,0,0,0,9
1988,JPN,F,Table Tennis,0,0,0,3
1992,JPN,F,Table Tennis,0,0,0,4
1996,JPN,F,Table Tennis,0,0,0,4
2000,JPN,F,Table Tennis,0,0,0,5
2004,JPN,F,Table Tennis,0,0,0,3
2008,JPN,F,Table Tennis,0,0,0,3
2012,JPN,F,Table Tennis,0,0,1,3
2016,JPN,F,Table Tennis,1,0,0,3
2020,JPN,F,Table Tennis,1,1,1,3
2024,JPN,F,Table Tennis,1,0,1,3
2000,JPN,F,Taekwondo,1,0,0,1
2004,JPN,F,Taekwondo,0,0,0,1
2008,JPN,F,Taekwondo,0,0,0,1
2012,JPN,F,Taekwondo,0,0,0,2
2016,JPN,F,Taekwondo,0,0,0,1
2020,JPN,F,Taekwondo,0,0,0,2
1988,JPN,F,Tennis,0,0,0,2
1992,JPN,F,Tennis,0,0,0,4
1996,JPN,F,Tennis,0,0,0,4
2000,JPN,F,Tennis,0,0,0,3
2004,JPN,F,Tennis,0,0,0,4
2008,JPN,F,Tennis,0,0,0,2
2016,JPN,F,Tennis,0,0,0,3
2020,JPN,F,Tennis,0,0,0,6
2024,JPN,F,Tennis,0,0,0,4
2000,JPN,F,Triathlon,0,0,0,3
2004,JPN,F,Triathlon,0,0,0,3
2008,JPN,F,Triathlon,0,0,0,3
2012,JPN,F,Triathlon,0,0,0,3
2016,JPN,F,Triathlon,0,0,0,3
2020,JPN,F,Triathlon,0,0,0,2
2024,JPN,F,Triathlon,0,0,0,1
1964,JPN,F,Volleyball,0,1,0,12
1968,JPN,F,Volleyball,0,0,1,9
1972,JPN,F,Volleyball,0,0,1,12
1976,JPN,F,Volleyball,0,1,0,12
1984,JPN,F,Volleyball,1,0,0,12
1988,JPN,F,Volleyball,0,0,0,12
1992,JPN,F,Volleyball,0,0,0,12
1996,JPN,F,Volleyball,0,0,0,16
2000,JPN,F,Volleyball,0,0,0,4
2004,JPN,F,Volleyball,0,0,0,13
2008,JPN,F,Volleyball,0,0,0,14
2012,JPN,F,Volleyball,1,0,0,12
2016,JPN,F,Volleyball,0,0,0,12
2020,JPN,F,Volleyball,0,0,0,14
2024,JPN,F,Volleyball,0,0,0,15
2020,JPN,F,Water Polo,0,0,0,13
2000,JPN,F,Weightlifting,0,0,0,3
2004,JPN,F,Weightlifting,0,0,0,1
2008,JPN,F,Weightlifting,0,0,0,3
2012,JPN,F,Weightlifting,0,0,1,4
2016,JPN,F,Weightlifting,1,0,0,4
2020,JPN,F,Weightlifting,1,0,0,3
2024,JPN,F,Weightlifting,0,0,0,1
2004,JPN,F,Wrestling,1,2,1,4
2008,JPN,F,Wrestling,1,2,1,4
2012,JPN,F,Wrestling,0,3,0,4
2016,JPN,F,Wrestling,0,4,1,6
2020,JPN,F,Wrestling,0,4,0,6
2024,JPN,F,Wrestling,2,4,0,6
1972,JPN,M,Archery,0,0,0,3
1976,JPN,M,Archery,0,0,1,2
1984,JPN,M,Archery,1,0,0,3
1988,JPN,M,Archery,0,0,0,3
1992,JPN,M,Archery,0,0,0,3
1996,JPN,M,Archery,0,0,0,2
2000,JPN,M,Archery,0,0,0,3
2004,JPN,M,Archery,0,0,1,3
2008,JPN,M,Archery,0,0,0,2
2012,JPN,M,Archery,0,0,1,3
2016,JPN,M,Archery,0,0,0,1
2020,JPN,M,Archery,2,0,0,3
2024,JPN,M,Archery,0,0,0,3
1932,JPN,M,Art Competitions,0,0,0,38
1936,JPN,M,Art Competitions,2,0,0,65
1912,JPN,M,Athletics,0,0,0,2
1920,JPN,M,Athletics,0,0,0,11
1924,JPN,M,Athletics,0,0,0,8
1928,JPN,M,Athletics,0,1,0,15
1932,JPN,M,Athletics,2,1,1,25
1936,JPN,M,Athletics,3,2,2,39
1952,JPN,M,Athletics,0,0,0,16
1956,JPN,M,Athletics,0,0,0,17
1960,JPN,M,Athletics,0,0,0,15
1964,JPN,M,Athletics,1,0,0,49
1968,JPN,M,Athletics,0,0,1,19
1972,JPN,M,Athletics,0,0,0,16
1976,JPN,M,Athletics,0,0,0,13
1984,JPN,M,Athletics,0,0,0,16
1988,JPN,M,Athletics,0,0,0,23
1992,JPN,M,Athletics,0,0,1,22
1996,JPN,M,Athletics,0,0,0,20
2000,JPN,M,Athletics,0,0,0,28
2004,JPN,M,Athletics,0,1,0,25
2008,JPN,M,Athletics,0,0,1,22
2012,JPN,M,Athletics,1,0,0,27
2016,JPN,M,Athletics,1,0,1,37
2020,JPN,M,Athletics,1,0,1,45
2024,JPN,M,Athletics,0,0,0,37
1992,JPN,M,Badminton,0,0,0,5
1996,JPN,M,Badminton,0,0,0,1
2000,JPN,M,Badminton,0,0,0,2
2004,JPN,M,Badminton,0,0,0,4
2008,JPN,M,Badminton,0,0,0,5
2012,JPN,M,Badminton,0,0,0,5
2016,JPN,M,Badminton,0,0,0,4
2020,JPN,M,Badminton,0,0,0,6
2024,JPN,M,Badminton,1,0,0,5
1992,JPN,M,Baseball,1,0,0,20
1996,JPN,M,Baseball,0,0,1,20
2000,JPN,M,Baseball,0,0,0,24
2004,JPN,M,Baseball,1,0,0,24
2008,JPN,M,Baseball,0,0,0,24
2020,JPN,M,Baseball,0,1,0,24
1936,JPN,M,Basketball,0,0,0,8
1956,JPN,M,Basketball,0,0,0,11
1960,JPN,M,Basketball,0,0,0,12
1964,JPN,M,Basketball,0,0,0,12
1972,JPN,M,Basketball,0,0,0,12
1976,JPN,M,Basketball,0,0,0,12
2020,JPN,M,Basketball,0,0,0,16
2024,JPN,M,Basketball,0,0,0,12
1928,JPN,M,Boxing,0,0,0,2
1932,JPN,M,Boxing,0,0,0,5
1936,JPN,M,Boxing,0,0,0,5
1952,JPN,M,Boxing,0,0,0,2
1956,JPN,M,Boxing,0,0,0,3
1960,JPN,M,Boxing,1,0,0,5
1964,JPN,M,Boxing,0,1,0,9
1968,JPN,M,Boxing,1,0,0,4
1972,JPN,M,Boxing,0,0,0,4
1976,JPN,M,Boxing,0,0,0,6
1984,JPN,M,Boxing,0,0,0,7
1988,JPN,M,Boxing,0,0,0,7
1992,JPN,M,Boxing,0,0,0,4
1996,JPN,M,Boxing,0,0,0,3
2000,JPN,M,Boxing,0,0,0,2
2004,JPN,M,Boxing,0,0,0,1
2008,JPN,M,Boxing,0,0,0,2
2012,JPN,M,Boxing,1,1,0,4
2016,JPN,M,Boxing,0,0,0,2
2020,JPN,M,Boxing,1,0,0,4
2024,JPN,M,Boxing,0,0,0,2
2024,JPN,M,Breaking,0,0,0,2
1964,JPN,M,Canoeing,0,0,0,10
1968,JPN,M,Canoeing,0,0,0,2
1972,JPN,M,Canoeing,0,0,0,5
1976,JPN,M,Canoeing,0,0,0,3
1984,JPN,M,Canoeing,0,0,0,5
1988,JPN,M,Canoeing,0,0,0,6
1992,JPN,M,Canoeing,0,0,0,3
1996,JPN,M,Canoeing,0,0,0,2
2000,JPN,M,Canoeing,0,0,0,1
2008,JPN,M,Canoeing,0,0,0,4
